,Date,Open,High,Low,Close
128,2017-06-29,1.13766,1.14447,1.1373799999999998,1.14391
129,2017-06-30,1.14393,1.14447,1.13916,1.14236
130,2017-07-03,1.14156,1.14263,1.13545,1.13637
131,2017-07-04,1.13606,1.13766,1.13355,1.1346
132,2017-07-05,1.13381,1.13681,1.1312,1.13508
133,2017-07-06,1.13488,1.14242,1.13293,1.14228
134,2017-07-07,1.14218,1.14392,1.13794,1.14001
135,2017-07-10,1.13958,1.14176,1.13812,1.13986
136,2017-07-11,1.1396700000000002,1.14792,1.13823,1.14663
137,2017-07-12,1.14642,1.14889,1.13912,1.14114
138,2017-07-13,1.14112,1.14554,1.13699,1.13966
139,2017-07-14,1.13968,1.14714,1.1391,1.14674
140,2017-07-17,1.14671,1.14866,1.14343,1.14778
141,2017-07-18,1.14762,1.15826,1.1471,1.15526
142,2017-07-19,1.15532,1.15557,1.15094,1.1515
143,2017-07-20,1.15137,1.16576,1.1478700000000002,1.163
144,2017-07-21,1.16289,1.16823,1.1618700000000002,1.16619
145,2017-07-24,1.16609,1.16837,1.16255,1.16404
146,2017-07-25,1.16396,1.17118,1.16304,1.1646299999999998
147,2017-07-26,1.16418,1.1739700000000002,1.16122,1.17331
148,2017-07-27,1.17342,1.17763,1.16496,1.16746
149,2017-07-28,1.16755,1.17635,1.16708,1.17467
150,2017-07-31,1.17494,1.1845,1.17226,1.18405
151,2017-08-01,1.18409,1.18436,1.17847,1.18014
152,2017-08-02,1.17996,1.19099,1.17931,1.18555
153,2017-08-03,1.18549,1.18927,1.18301,1.18682
154,2017-08-04,1.1871,1.18889,1.17277,1.17721
155,2017-08-07,1.17727,1.18134,1.17696,1.17947
156,2017-08-08,1.17928,1.18233,1.17146,1.1753
157,2017-08-09,1.17503,1.17633,1.16884,1.17574
158,2017-08-10,1.17567,1.17847,1.17036,1.17725
159,2017-08-11,1.17707,1.18467,1.17482,1.1820700000000002
160,2017-08-14,1.1818799999999998,1.1838,1.17693,1.17792
161,2017-08-15,1.17761,1.1792200000000002,1.16867,1.1734
162,2017-08-16,1.17332,1.17782,1.16811,1.17662
163,2017-08-17,1.17653,1.17895,1.16618,1.1723
164,2017-08-18,1.17187,1.17739,1.1708,1.17587
165,2017-08-21,1.17606,1.18278,1.17306,1.18135
166,2017-08-22,1.18145,1.18238,1.17447,1.1761
167,2017-08-23,1.17583,1.1822700000000002,1.1739700000000002,1.18059
168,2017-08-24,1.18071,1.18173,1.17837,1.17983
169,2017-08-25,1.17987,1.19412,1.17729,1.19214
170,2017-08-28,1.1945,1.19835,1.19165,1.19782
171,2017-08-29,1.19777,1.20698,1.19459,1.1972200000000002
172,2017-08-30,1.19713,1.1983700000000002,1.18802,1.1882700000000002
173,2017-08-31,1.18832,1.19121,1.18226,1.1908
174,2017-09-01,1.19063,1.19791,1.18486,1.18598
175,2017-09-04,1.18793,1.19216,1.1873,1.18947
176,2017-09-05,1.1892,1.19401,1.18677,1.1912200000000002
177,2017-09-06,1.19193,1.19497,1.18995,1.19165
178,2017-09-07,1.1917,1.2059,1.1913,1.20213
179,2017-09-08,1.20228,1.20919,1.20138,1.20345
180,2017-09-11,1.20161,1.2029,1.1947,1.19524
181,2017-09-12,1.19516,1.19777,1.19257,1.1966
182,2017-09-13,1.19654,1.1994200000000002,1.18724,1.18851
183,2017-09-14,1.18812,1.19215,1.18373,1.19174
184,2017-09-15,1.19166,1.19867,1.19006,1.19444
185,2017-09-18,1.19239,1.19688,1.19145,1.1953200000000002
186,2017-09-19,1.1949299999999998,1.2006,1.19486,1.19937
187,2017-09-20,1.19928,1.20331,1.1860700000000002,1.18939
188,2017-09-21,1.18937,1.1953200000000002,1.18651,1.19406
189,2017-09-22,1.19377,1.2004,1.19352,1.19469
190,2017-09-25,1.18976,1.1936,1.18314,1.18486
191,2017-09-26,1.18461,1.18609,1.17574,1.1793
192,2017-09-27,1.17893,1.17947,1.17165,1.17439
193,2017-09-28,1.17487,1.18036,1.17205,1.1786
194,2017-09-29,1.17854,1.18318,1.17721,1.18135
195,2017-10-02,1.17943,1.18146,1.17942,1.18077
